match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
41,44,1341846649.248048067,0.106046437,0.182392513,0.451040600,0.008099549,0.005308484,1.525774472,0,196,196,196,346,166,0.028971000,0.198980000,0.925581000,0.633333000,58.971935000,1,0,1,0,0,0-149
42,45,1341846649.280075073,0.119236516,0.188775949,0.451040600,0.012384411,0.005561475,2.226821533,0,195,195,195,349,165,0.025065000,0.215385000,1.415236000,0.633333000,58.684168000,1,0,1,0,0,0-149
43,46,1341846649.316071033,0.111754400,0.190031855,0.451040600,0.013985573,0.007349150,1.903019293,0,194,194,194,339,158,0.027344000,0.247423000,1.547180000,0.600000000,54.948200000,1,0,1,0,0,0-149
44,47,1341846649.348041058,0.098499726,0.192223203,0.451040600,0.017419363,0.005141012,3.388314269,0,175,175,175,341,153,0.027018000,0.205714000,1.789703000,0.600000000,53.489157000,1,0,1,0,0,0-149
45,48,1341846649.383972883,0.101844320,0.195614729,0.451040600,0.006761986,0.005465345,1.237247648,0,197,197,197,338,158,0.026367000,0.274112000,0.657680000,0.600000000,51.944950000,1,0,1,1,1,0-149
46,49,1341846649.416053057,0.130900316,0.206582329,0.451040600,0.030333952,0.007218033,4.202523370,1,263,263,163,324,238,0.037109000,0.110266000,2.371704000,0.566667000,50.270583000,1,1,1,0,0,0-149
47,50,1341846649.448084116,0.123703822,0.208187525,0.451040600,0.011950547,0.005223983,2.287631208,1,290,290,201,361,270,0.041341000,0.120690000,0.838605000,0.566667000,48.233480000,1,0,1,0,0,0-149
48,51,1341846649.484153986,0.105552055,0.205120312,0.451040600,0.022244892,0.004688283,4.744784205,1,320,320,258,428,294,0.048503000,0.146875000,1.805407000,0.600000000,51.325859000,1,0,1,0,0,0-149
49,52,1341846649.516197920,0.108678615,0.206578304,0.451040600,0.014694282,0.005003998,2.936508161,1,328,328,264,432,293,0.044596000,0.152439000,1.154586000,0.600000000,49.295186000,1,0,1,0,0,0-149
50,53,1341846649.552100897,0.111957484,0.210653746,0.451040600,0.006825532,0.006485368,1.052451014,0,292,292,292,431,255,0.045573000,0.184932000,1.791363000,0.633333000,50.765995000,1,0,1,0,0,0-149
51,54,1341846649.616167068,0.110814140,0.219252417,0.451040600,0.016036426,0.011943618,1.342677493,0,289,289,289,431,247,0.041341000,0.245675000,1.027574000,0.600000000,46.125321000,1,0,1,0,0,0-149
52,55,1341846649.646135092,0.113218371,0.218772825,0.451040600,0.016627826,0.004868265,3.415555205,0,251,251,251,420,221,0.037435000,0.183267000,1.307523000,0.566667000,42.460131000,1,0,1,0,0,0-149
53,56,1341846649.678101063,0.110851334,0.222505571,0.451040600,0.010356115,0.005812056,1.781833180,0,245,245,245,407,218,0.039388000,0.179592000,1.132518000,0.533333000,38.902183000,1,0,1,0,0,0-149
