match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
76,79,1341846650.450352907,0.170681841,0.332400371,0.424366525,0.025786347,0.002451530,10.518470400,1,363,363,329,505,333,0.057617000,0.132231000,1.231855000,0.566667000,36.060247000,0,0,1,0,0,0-149
77,80,1341846650.484848976,0.180028157,0.334386990,0.424366525,0.010788447,0.001849324,5.833723941,1,370,370,318,515,356,0.055990000,0.070270000,0.700765000,0.566667000,36.793219000,0,0,1,0,0,0-149
78,81,1341846650.514091015,0.155015455,0.323743775,0.424366525,0.033105888,0.002758623,12.000875120,1,329,329,283,488,309,0.047852000,0.109422000,1.850480000,0.566667000,36.647960000,1,0,1,0,0,0-149
79,82,1341846650.550745964,0.146916113,0.318169263,0.424366525,0.007625103,0.005375872,1.418393696,0,270,270,270,474,227,0.041341000,0.237037000,0.304097000,0.566667000,35.829970000,1,0,1,0,0,0-149
80,83,1341846650.582068920,0.168818485,0.325185824,0.424366525,0.038781404,0.005673623,6.835385852,1,564,564,235,409,556,0.090169000,0.033688000,1.751577000,0.533333000,34.406609000,0,0,1,0,0,0-149
81,84,1341846650.618092060,0.170060594,0.319913326,0.424366525,0.009616633,0.009594269,1.002330936,0,393,393,393,555,373,0.063802000,0.091603000,0.644619000,0.566667000,36.233594000,0,0,1,0,0,0-149
82,85,1341846650.650422096,0.166399692,0.313968362,0.424366525,0.006734607,0.008358229,0.805745687,0,337,337,337,524,313,0.059896000,0.089021000,0.470928000,0.566667000,36.654261000,0,0,1,0,0,0-149
83,86,1341846650.682113886,0.164591596,0.309154518,0.424366525,0.010843470,0.008989438,1.206245570,0,345,345,345,531,331,0.063151000,0.069565000,0.814271000,0.566667000,37.359570000,0,0,1,0,0,0-149
84,87,1341846650.718110085,0.163494228,0.300455952,0.424366525,0.011451295,0.014052046,0.814920087,0,341,341,341,524,326,0.060872000,0.090909000,0.899905000,0.566667000,37.986631000,0,0,1,0,0,0-149
85,88,1341846650.750112057,0.164941645,0.294944096,0.424366525,0.010876059,0.010788883,1.008080197,1,529,529,262,472,507,0.083333000,0.049149000,0.725367000,0.533333000,35.316798000,0,0,1,0,0,0-149
