case,frame_id,current_kf,local_kf,fixed_kf,local_mp,delayed_mp,optimizer_points,optimizer_edges,delayed_ratio,segment
v12,465,271,123,81,3478,1,3477,33766,0.000287522,300-549
v12,474,275,147,58,3961,1,3960,35984,0.000252461,300-549
v13_min3,475,267,160,40,3954,1,3953,35985,0.000252908,300-549
v12,478,279,172,33,4171,1,4170,36851,0.000239751,300-549
v13_min3,480,271,169,31,3969,1,3968,36322,0.000251953,300-549
v12,497,283,160,47,4083,1,4082,37281,0.000244918,300-549
v12,526,287,132,71,4220,1,4219,36478,0.000236967,300-549
v13_min3,530,275,128,70,4091,1,4090,36013,0.000244439,300-549
v12,540,291,52,147,3283,1,3282,30639,0.000304599,300-549
v13_min3,545,279,32,161,2474,1,2473,23291,0.000404204,300-549
v12,550,295,24,171,2244,1,2243,18041,0.000445633,550-599
v13_min3,552,283,23,170,2089,1,2088,17960,0.000478698,550-599
v12,557,299,28,169,2109,1,2108,18469,0.000474158,550-599
v13_min3,558,287,26,169,2032,1,2031,18247,0.000492126,550-599
v12,570,303,27,172,2066,1,2065,17250,0.000484027,550-599
v13_min3,572,291,24,171,1996,1,1995,16277,0.000501002,550-599
v12,574,307,30,173,2071,1,2070,17065,0.000482859,550-599
v13_min3,577,295,29,170,1960,1,1959,16682,0.000510204,550-599
v12,579,311,35,172,2094,1,2093,17958,0.000477555,550-599
v13_min3,582,299,34,171,2156,1,2155,17874,0.000463822,550-599
v12,585,315,43,168,2734,1,2733,22231,0.000365764,550-599
v13_min3,586,303,41,167,2618,2,2616,21309,0.000763942,550-599
v12,589,319,47,168,2714,1,2713,23306,0.000368460,550-599
v13_min3,592,307,54,159,3032,1,3031,27090,0.000329815,550-599
v12,597,323,117,101,4546,1,4545,37344,0.000219974,550-599
v13_min3,600,311,111,105,4554,1,4553,38556,0.000219587,600-799
v12,607,327,112,109,4549,1,4548,38418,0.000219829,600-799
v13_min3,608,315,119,99,4740,1,4739,38526,0.000210970,600-799
v12,613,331,139,82,4695,1,4694,38475,0.000212993,600-799
v12,617,335,132,91,4534,1,4533,37919,0.000220556,600-799
v13_min3,617,319,137,79,4637,1,4636,37344,0.000215657,600-799
v12,621,339,150,76,4573,1,4572,39253,0.000218675,600-799
v13_min3,624,323,165,55,4708,1,4707,39723,0.000212404,600-799
v12,632,343,181,47,4882,1,4881,41358,0.000204834,600-799
v13_min3,636,327,182,41,4843,1,4842,40999,0.000206484,600-799
v13_min3,648,331,186,36,4942,1,4941,40828,0.000202347,600-799
v12,650,347,182,43,5011,1,5010,41070,0.000199561,600-799
v13_min3,655,335,171,51,4903,1,4902,40008,0.000203957,600-799
v12,658,351,170,59,5078,1,5077,41817,0.000196928,600-799
v13_min3,660,339,167,55,5045,1,5044,40313,0.000198216,600-799
v12,665,355,143,86,4925,1,4924,40113,0.000203046,600-799
v13_min3,666,343,144,81,5024,1,5023,40078,0.000199045,600-799
v13_min3,671,347,136,91,4974,1,4973,39112,0.000201045,600-799
v12,672,359,138,94,5167,1,5166,40157,0.000193536,600-799
v13_min3,675,351,139,92,4842,1,4841,39903,0.000206526,600-799
v12,676,363,134,101,4896,1,4895,39894,0.000204248,600-799
v13_min3,681,355,145,89,4656,2,4654,39889,0.000429553,600-799
v12,682,367,147,91,4746,1,4745,40504,0.000210704,600-799
v13_min3,685,359,144,93,4511,1,4510,39134,0.000221680,600-799
v12,686,371,134,108,4343,1,4342,38044,0.000230256,600-799
v13_min3,689,363,133,108,4418,2,4416,39099,0.000452694,600-799
v12,690,375,120,126,4369,1,4368,39547,0.000228885,600-799
v13_min3,693,367,128,117,4207,1,4206,38473,0.000237699,600-799
v12,694,379,137,113,4433,1,4432,40001,0.000225581,600-799
v13_min3,697,371,146,102,4156,1,4155,37801,0.000240616,600-799
v12,698,383,158,95,4529,1,4528,40719,0.000220799,600-799
v13_min3,701,375,150,102,4368,1,4367,39162,0.000228938,600-799
v12,702,387,159,97,4465,1,4464,40561,0.000223964,600-799
v13_min3,705,379,165,88,4742,1,4741,40657,0.000210881,600-799
v12,706,391,174,85,4702,1,4701,41623,0.000212675,600-799
v12,710,395,168,94,4704,1,4703,40592,0.000212585,600-799
v13_min3,710,383,156,100,4594,1,4593,39087,0.000217675,600-799
v12,715,399,161,102,4652,1,4651,40288,0.000214961,600-799
v13_min3,715,387,158,100,4549,1,4548,38952,0.000219829,600-799
v13_min3,720,391,157,101,4610,1,4609,38764,0.000216920,600-799
v12,721,403,155,107,4680,1,4679,39772,0.000213675,600-799
v13_min3,730,395,164,97,4629,1,4628,39369,0.000216029,600-799
v12,732,407,159,105,4707,1,4706,40382,0.000212450,600-799
v13_min3,739,399,168,97,4787,1,4786,40636,0.000208899,600-799
v12,741,411,167,100,4797,1,4796,41140,0.000208464,600-799
v12,751,415,183,88,4977,1,4976,42867,0.000200924,600-799
v13_min3,752,403,177,91,4749,1,4748,41160,0.000210571,600-799
v12,758,419,177,97,4721,1,4720,42253,0.000211820,600-799
v13_min3,758,407,176,96,4684,1,4683,42019,0.000213493,600-799
v12,762,423,185,90,4823,1,4822,42914,0.000207340,600-799
v13_min3,762,411,183,93,4693,1,4692,42570,0.000213083,600-799
v13_min3,767,415,176,102,4521,1,4520,41691,0.000221190,600-799
v12,768,427,179,99,4724,1,4723,42782,0.000211685,600-799
v13_min3,771,419,176,102,4432,1,4431,41088,0.000225632,600-799
v12,772,431,179,101,4611,1,4610,42824,0.000216873,600-799
v13_min3,775,423,185,94,4530,1,4529,41506,0.000220751,600-799
v12,776,435,190,92,4733,1,4732,43496,0.000211282,600-799
v13_min3,779,427,189,89,4504,1,4503,41193,0.000222025,600-799
v12,780,439,192,90,4694,1,4693,43168,0.000213038,600-799
v13_min3,783,431,185,95,4473,1,4472,41206,0.000223564,600-799
v12,784,443,193,90,4740,1,4739,43517,0.000210970,600-799
v12,788,447,188,97,4593,1,4592,43091,0.000217723,600-799
v13_min3,788,435,181,99,4385,1,4384,40598,0.000228050,600-799
v12,792,451,198,91,4668,1,4667,44136,0.000214225,600-799
v13_min3,792,439,190,94,4495,1,4494,41809,0.000222469,600-799
v12,796,455,198,93,4646,1,4645,44387,0.000215239,600-799
v13_min3,796,443,193,93,4470,1,4469,42083,0.000223714,600-799
v12,800,459,208,86,4704,1,4703,45479,0.000212585,800-908
