case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_support_promoted_boundary_pairs
wrpy_score_v4,63,1341846649.914184,1,39,1877,456,241,0.716432,0.030621,0.208070,608,27,20,345,0,0,,12,12,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,32,0
wrpy_score_v4,68,1341846650.078250,1,39,1708,392,189,0.806631,0.036156,0.262360,575,3,20,346,7,31,46,113,113,3,4,4,4,3,3,3,4,2,26,15,7,31,7,10,10,3,3,0,4,11,7,7,172,4
wrpy_score_v4,69,1341846650.114215,1,40,1757,472,264,0.814414,0.007783,0.284072,525,11,5,439,1,10,2,25,25,1,1,1,1,1,1,1,1,0,8,8,0,10,1,4,4,1,1,0,1,2,1,1,117,1
wrpy_score_v4,70,1341846650.146137,1,41,1799,470,266,0.828946,0.014532,0.304954,489,11,4,466,3,3,19,30,30,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,0,1,4,3,3,73,1
wrpy_score_v4,71,1341846650.182236,1,42,1834,467,268,0.845473,0.016527,0.271979,596,16,22,359,3,18,18,40,40,2,2,2,2,2,2,2,2,5,16,14,13,18,3,6,6,2,2,0,2,5,3,3,85,2
wrpy_score_v4,77,1341846650.382075,1,42,1735,433,230,0.943250,0.018031,0.301292,478,5,18,441,2,7,14,42,42,2,2,2,2,2,2,2,2,2,6,6,7,7,2,2,2,2,2,0,2,4,2,2,69,2
wrpy_score_v4,78,1341846650.414224,1,43,1792,442,211,0.960747,0.017498,0.326038,479,10,8,470,2,11,37,54,54,0,1,1,1,0,0,0,1,1,9,8,3,11,2,4,4,0,0,0,1,3,2,2,62,1
wrpy_score_v4,79,1341846650.450353,1,44,1849,469,262,0.983629,0.022881,0.345736,443,10,5,520,0,0,,31,31,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,41,0
wrpy_score_v4,80,1341846650.484849,1,45,1883,455,265,0.993368,0.009739,0.287562,454,19,16,463,1,2,6,18,18,1,1,1,1,1,1,1,1,0,1,2,0,2,1,1,1,1,1,0,1,2,1,1,27,1
wrpy_score_v4,82,1341846650.550746,1,43,1750,424,214,1.022661,0.012607,0.351794,418,23,12,547,0,0,,23,23,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,36,0
wrpy_score_v4,83,1341846650.582069,1,44,2029,425,253,1.048989,0.026327,0.100247,775,11,14,137,1,9,11,11,11,0,1,1,1,0,0,0,1,2,8,5,7,9,1,3,3,0,0,0,1,2,1,1,15,1
wrpy_score_v4,85,1341846650.650422,1,45,2217,497,315,1.066018,0.007602,0.126885,711,4,3,182,0,0,,16,16,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,16,0
wrpy_score_v4,87,1341846650.718110,1,46,2357,576,375,1.087873,0.010141,0.114674,735,8,2,152,0,9,,6,6,0,1,1,1,0,0,0,1,2,7,9,7,9,0,3,3,0,0,0,1,1,0,,16,1
wrpy_score_v4,91,1341846650.850139,1,44,2262,505,287,1.141121,0.018516,0.126553,698,2,3,179,0,0,,54,54,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,76,0
wrpy_score_v4,92,1341846650.886238,1,45,2402,474,237,1.153228,0.012107,0.097129,719,9,9,131,1,0,3,60,60,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,72,0
wrpy_score_v4,93,1341846650.918288,1,46,2542,584,347,1.164384,0.011156,0.138158,710,19,16,194,0,11,,47,47,1,1,1,1,1,1,1,1,1,10,10,11,11,0,1,1,1,1,0,1,1,0,,87,1
wrpy_score_v4,94,1341846650.950233,1,47,2584,620,370,1.182796,0.018412,0.158132,682,20,17,212,2,4,10,36,36,,,,,,,,,0,4,1,3,4,2,0,0,0,0,0,0,2,2,2,62,0
wrpy_score_v4,95,1341846650.986247,1,47,2396,511,283,1.199182,0.016385,0.141185,718,29,33,156,1,1,8,40,40,,,,,,,,,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,59,0
wrpy_score_v4,96,1341846651.018106,1,48,2507,578,338,1.210435,0.011253,0.150433,694,23,18,195,0,11,,39,39,1,2,2,2,1,1,1,2,2,9,11,11,11,0,2,2,1,1,0,2,2,0,,50,2
wrpy_score_v4,97,1341846651.050482,1,49,2613,611,356,1.230387,0.019952,0.162207,696,22,15,217,2,0,13,32,32,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,23,0
wrpy_score_v4,98,1341846651.086169,1,50,2624,589,328,1.244852,0.014465,0.132959,690,27,25,163,10,17,43,43,43,,,,,,,,,0,14,9,15,17,10,0,0,0,0,0,0,10,10,10,68,0
wrpy_score_v4,101,1341846651.186391,1,48,2499,557,279,1.292342,0.013904,0.113454,695,8,4,132,0,0,,80,80,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,50,0
wrpy_score_v4,102,1341846651.218036,1,49,2557,597,355,1.303837,0.011495,0.130244,702,3,6,153,0,0,,97,97,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,55,0
wrpy_score_v4,103,1341846651.254031,1,50,2597,656,400,1.312625,0.008788,0.144232,710,16,5,161,0,0,,71,71,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,33,0
wrpy_score_v4,104,1341846651.286406,1,51,2626,676,398,1.323998,0.011373,0.146969,708,26,10,165,0,8,,46,37,0,1,1,1,0,0,0,1,0,6,6,0,8,0,1,1,0,0,0,1,1,0,,9,1
wrpy_score_v4,107,1341846651.386180,1,51,2476,562,306,1.368863,0.015930,0.158701,709,33,26,173,1,3,6,74,74,,,,,,,,,0,2,1,3,3,1,0,0,0,0,0,0,1,1,1,14,0
wrpy_score_v4,108,1341846651.422237,1,52,2543,574,322,1.386881,0.018018,0.168457,644,13,15,215,1,1,6,32,30,,,,,,,,,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,20,0
wrpy_score_v4,109,1341846651.492135,1,53,2657,550,259,1.409575,0.022694,0.192129,665,29,13,231,2,2,6,21,21,,,,,,,,,0,0,2,0,2,2,0,0,0,0,0,0,2,2,2,23,0
wrpy_score_v4,110,1341846651.522099,1,54,2704,591,279,1.425624,0.016049,0.164134,718,38,29,164,4,3,7,12,9,,,,,,,,,0,1,3,3,3,4,0,0,0,0,0,0,4,4,4,7,0
wrpy_score_v4,112,1341846651.590585,1,54,2629,533,195,1.465236,0.017984,0.194954,721,30,33,223,19,11,39,52,42,,,,,,,,,0,8,3,11,11,19,0,0,0,0,0,0,19,19,19,46,0
wrpy_score_v4,113,1341846651.622176,1,55,2708,599,272,1.484208,0.018973,0.161553,756,23,30,152,6,4,10,15,13,,,,,,,,,0,2,4,4,4,6,0,0,0,0,0,0,6,6,6,30,0
wrpy_score_v4,114,1341846651.654223,1,56,2770,609,283,1.505679,0.021471,0.171930,703,26,27,198,0,0,,19,17,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,31,0
wrpy_score_v4,115,1341846651.690127,1,57,2793,585,248,1.530645,0.024966,0.192513,655,36,21,221,0,0,,8,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,30,0
wrpy_score_v4,117,1341846651.754212,1,57,2706,524,217,1.598431,0.031471,0.170576,670,21,37,184,2,6,10,11,11,1,1,1,1,1,1,1,1,2,6,5,6,6,2,2,2,1,1,0,1,3,2,2,47,1
wrpy_score_v4,118,1341846651.790200,1,58,2774,549,221,1.627834,0.029404,0.193011,622,37,28,217,0,0,,13,13,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,48,0
wrpy_score_v4,119,1341846651.822233,1,59,2887,553,224,1.653297,0.025463,0.218118,466,2,6,352,1,0,3,9,6,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,7,0
wrpy_score_v4,120,1341846651.858213,1,60,2989,542,187,1.677482,0.024185,0.227288,484,1,4,389,0,0,,5,5,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,9,0
wrpy_score_v4,122,1341846651.922186,1,61,2851,501,159,1.750194,0.026858,0.331090,373,18,23,408,2,2,13,34,34,,,,,,,,,0,1,1,0,2,2,0,0,0,0,0,0,2,2,2,14,0
wrpy_score_v4,123,1341846651.958047,1,62,2819,530,194,1.779421,0.029227,0.349980,307,9,7,433,1,1,8,30,26,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,17,0
wrpy_score_v4,124,1341846651.990020,1,63,2783,515,186,1.804322,0.024901,0.361234,328,18,8,475,0,0,,16,16,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,17,0
wrpy_score_v4,125,1341846652.022081,1,64,2820,479,155,1.845042,0.040720,0.293057,415,29,55,310,1,1,1,9,8,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,10,0
wrpy_score_v4,127,1341846652.090106,1,65,2706,435,141,1.939382,0.038587,0.324997,307,25,24,392,3,2,9,32,32,,,,,,,,,0,2,2,2,2,3,0,0,0,0,0,0,3,3,3,40,0
wrpy_score_v4,128,1341846652.126257,1,66,2748,457,148,1.970392,0.031009,0.272891,359,35,38,308,3,8,6,15,9,,,,,,,,,0,3,5,6,8,3,0,0,0,0,0,0,3,3,3,19,0
wrpy_score_v4,129,1341846652.158232,1,67,2772,459,151,2.006228,0.035837,0.279867,338,16,25,313,0,7,,15,11,1,1,1,1,1,1,1,1,1,5,5,6,7,0,1,1,1,1,0,1,1,0,,17,1
wrpy_score_v4,130,1341846652.190049,1,68,2790,465,140,2.045123,0.038895,0.289508,330,16,37,339,2,2,30,39,38,,,,,,,,,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,25,0
wrpy_score_v4,131,1341846652.225981,1,68,2754,451,127,2.084006,0.038883,0.247601,347,28,38,340,1,1,12,34,33,,,,,,,,,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,55,0
wrpy_score_v4,132,1341846652.258089,1,69,2836,435,154,2.127757,0.043750,0.254098,400,21,22,253,2,1,10,50,43,,,,,,,,,0,1,0,1,1,2,0,0,0,0,0,0,2,2,2,37,0
wrpy_score_v4,133,1341846652.290189,1,70,2921,408,148,2.164313,0.036556,0.265498,412,14,18,226,2,12,17,81,75,,,,,,,,,0,8,5,12,12,2,0,0,0,0,0,0,2,2,2,28,0
