segment,match_start,match_end,count,gt_path_m,gt_chord_m,backend_v9_se3_rmse_m,backend_v9_sim3_rmse_m,backend_v9_global_sim3_scale,backend_v9_est_path_m,backend_v9_path_ratio,backend_v9_est_chord_m,backend_v9_chord_ratio,D_only_se3_rmse_m,D_only_sim3_rmse_m,D_only_global_sim3_scale,D_only_est_path_m,D_only_path_ratio,D_only_est_chord_m,D_only_chord_ratio,D_v9_default_se3_rmse_m,D_v9_default_sim3_rmse_m,D_v9_default_global_sim3_scale,D_v9_default_est_path_m,D_v9_default_path_ratio,D_v9_default_est_chord_m,D_v9_default_chord_ratio,D_v9_pose1_se3_rmse_m,D_v9_pose1_sim3_rmse_m,D_v9_pose1_global_sim3_scale,D_v9_pose1_est_path_m,D_v9_pose1_path_ratio,D_v9_pose1_est_chord_m,D_v9_pose1_chord_ratio,D_v9_pose3_se3_rmse_m,D_v9_pose3_sim3_rmse_m,D_v9_pose3_global_sim3_scale,D_v9_pose3_est_path_m,D_v9_pose3_path_ratio,D_v9_pose3_est_chord_m,D_v9_pose3_chord_ratio
450-499,450,499,50,0.062484915,0.054852256,0.058372446,0.064539015,0.341261452,0.684769820,10.958962116,0.072297644,1.318043215,0.044619407,0.059455804,0.370478846,0.693732868,11.102405506,0.047554309,0.866952658,0.043192551,0.054900358,0.445901278,0.669878299,10.720640263,0.049527651,0.902928242,0.043665955,0.055004159,0.454860837,0.635866444,10.176319201,0.064438388,1.174762760,0.039037410,0.054719705,0.429992637,0.597007349,9.554423593,0.057283919,1.044331132
500-549,500,549,50,0.075625113,0.066974099,0.064500797,0.052450106,0.341261452,0.497210811,6.574678568,0.060168050,0.898377884,0.058168998,0.047546487,0.370478846,0.643145177,8.504386316,0.080343557,1.199621308,0.057678272,0.048282191,0.445901278,0.584880821,7.733949694,0.074890426,1.118199815,0.054408395,0.048230403,0.454860837,0.569273703,7.527574891,0.070707179,1.055739145,0.048443330,0.046544566,0.429992637,0.536576673,7.095218118,0.057688918,0.861361604
550-599,550,599,50,0.178867364,0.107808627,0.112113513,0.069549008,0.341261452,1.412188876,7.895173526,0.105567171,0.979208941,0.098092892,0.075702427,0.370478846,0.802597833,4.487111652,0.091675139,0.850350680,0.094705257,0.065524803,0.445901278,1.174352970,6.565496041,0.119017394,1.103969113,0.087405888,0.063627650,0.454860837,1.154665042,6.455426058,0.128693226,1.193719181,0.095505089,0.068487485,0.429992637,1.022709478,5.717697495,0.111404517,1.033354380
600-649,600,649,50,0.078602425,0.031136795,0.075811467,0.054357792,0.341261452,0.886854414,11.282786891,0.065587531,2.106431674,0.082671365,0.053169221,0.370478846,1.201088638,15.280554424,0.131344565,4.218307167,0.098195587,0.044381982,0.445901278,1.044189554,13.284444462,0.078819655,2.531399098,0.089476798,0.044481337,0.454860837,0.963466260,12.257462233,0.083413770,2.678945277,0.093670685,0.044937834,0.429992637,0.842283710,10.715747088,0.055963122,1.797330847
650-699,650,699,50,0.135028227,0.104518850,0.086107890,0.084325923,0.341261452,1.110542015,8.224517506,0.097824130,0.935947249,0.078456454,0.077111240,0.370478846,1.058552812,7.839492796,0.067657234,0.647320879,0.077278167,0.074690695,0.445901278,1.147788084,8.500356637,0.082327069,0.787676761,0.071554529,0.067292687,0.454860837,0.930819243,6.893516008,0.101119840,0.967479455,0.073630014,0.071089121,0.429992637,0.970248629,7.185524478,0.072208323,0.690864113
700-749,700,749,50,0.067512028,0.031639532,0.072900132,0.109856946,0.341261452,0.449820846,6.662825282,0.013911618,0.439691028,0.093010128,0.104173253,0.370478846,0.640444313,9.486373519,0.111308429,3.518017521,0.084326838,0.094715058,0.445901278,0.638120428,9.451951720,0.049988061,1.579924137,0.078451460,0.091172796,0.454860837,0.455621301,6.748742638,0.015160276,0.479156128,0.089302121,0.097390727,0.429992637,0.569413310,8.434249849,0.020548032,0.649441699
750-799,750,799,50,0.070403682,0.048650796,0.072549331,0.076735787,0.341261452,0.450300207,6.395975243,0.059340434,1.219721746,0.095644341,0.070896916,0.370478846,0.434325849,6.169078612,0.048874436,1.004596837,0.082474863,0.059508141,0.445901278,0.448372469,6.368594036,0.052059985,1.070074675,0.078765633,0.060454712,0.454860837,0.426986726,6.064835172,0.043105973,0.886028108,0.087438981,0.064209328,0.429992637,0.470383588,6.681235627,0.046915698,0.964335664
800-849,800,849,50,0.278330909,0.167632515,0.435624955,0.184058312,0.341261452,1.176144750,4.225706567,0.902758281,5.385341155,0.394735626,0.175620393,0.370478846,1.186640223,4.263415182,0.913424774,5.448971373,0.344568122,0.176903938,0.445901278,1.185273983,4.258506492,0.816345222,4.869850121,0.335379444,0.173848349,0.454860837,1.302375298,4.679233445,0.809812446,4.830879301,0.344943615,0.171424803,0.429992637,1.249233550,4.488303345,0.848935479,5.064265013
850-899,850,899,50,0.148485349,0.134233006,0.736322178,0.213839241,0.341261452,0.564898803,3.804407693,0.152944168,1.139393154,0.728070431,0.221618761,0.370478846,0.549382483,3.699910381,0.182835856,1.362078230,0.622732014,0.228615636,0.445901278,0.516317135,3.477226130,0.154228276,1.148959408,0.619154272,0.232158048,0.454860837,0.494760678,3.332050483,0.163441649,1.217596579,0.672808116,0.235894614,0.429992637,0.538361453,3.625687363,0.177669989,1.323593905
900-905,900,905,6,0.005382302,0.004682948,0.746208973,0.213942394,0.341261452,0.035996833,6.687999469,0.014485293,3.093199663,0.756106564,0.227682556,0.370478846,0.042657562,7.925523694,0.018817625,4.018329072,0.638414195,0.226205796,0.445901278,0.035080129,6.517681231,0.011005816,2.350189800,0.638571955,0.231917667,0.454860837,0.043826011,8.142614725,0.011473648,2.450091036,0.694156658,0.235746968,0.429992637,0.024814719,4.610428664,0.014344577,3.063151250
