date,run_id,dataset_id,profile,maintenance_period,repeat_id,matched_poses,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_se3_rmse_m,rper_se3_rmse_deg,trajectory_sha256,keyframe_timeline_sha256,returncode,notes,run_dir
2026-05-12,early_intervention_B_filteredrgb_rawdepth_full_r2,ablation_ei_B_filtered_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.35795820780978815,0.2677403616302428,0.36551821291601344,0.01692783567533715,0.4898870979852745,25fdb2d855c2b461d931e5b2cb835213d8d09f43043f17de0780f6983d9a6884,54476ca0b330e26cf73c32c5d6d7b7fdb84d020f2366631c24e4e79a615ac587,0,filtered RGB + raw depth repeat; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/B_filtered_rgb_raw_depth_r2
2026-05-12,dropout_C_random_same_count_full,dropout_C_random_same_count_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.585112426357756,0.27910510695690594,0.1786979466329045,0.01814403149478621,0.48071910378198063,968b2701964c269b19c888b6bed63a05a2f2e992b7da25a3176bd203b2d75663,7f581cf885b11086df860650f3eaccbc350c589a7eda9af0174a8f3728c547ab,0,raw RGB + random same-count depth dropout; no backend mask,/home/lj/dynamic-slam-public/runs/depth_dropout_controls_20260512_2348/C_random_same_count
2026-05-12,dropout_C_static_same_count_full,dropout_C_static_same_count_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.6283145762726979,0.2809659914910392,0.16010759563764373,0.01995143165600156,0.5136405454854458,4f3faec435b484998080d269332a9f7bb02ab8f99638341e58aebdf616cb3866,27cf22e80d119c83dd8d6406f7c9fb05230db413f24bace07d48e6708719d91e,0,raw RGB + static-region same-count depth dropout; no backend mask,/home/lj/dynamic-slam-public/runs/depth_dropout_controls_20260512_2348/C_static_same_count
2026-05-13,backend_dynamic_depth_v1_full,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.033068364588654496,0.030440348095092717,0.9586023515803823,0.016214879496741434,0.4296651165339203,ca11d0300db7c7b4221649e6e73a11fb38fd00e84fd6735d91869bc63693a452,e79064d18a7a51eccd302edbc6a4fc755f9bd364e52de0db7121f2089af4a77e,0,raw RGB + raw depth + backend dynamic depth invalidation side-channel-only,/home/lj/dynamic-slam-public/runs/backend_dynamic_depth_v1_20260513_002527/v1_frame_depth_invalidation
2026-05-13,backend_dynamic_depth_v1_full_r2,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.033068364588654496,0.030440348095092717,0.9586023515803823,0.016214879496741434,0.4296651165339203,ca11d0300db7c7b4221649e6e73a11fb38fd00e84fd6735d91869bc63693a452,e79064d18a7a51eccd302edbc6a4fc755f9bd364e52de0db7121f2089af4a77e,0,raw RGB + raw depth + backend dynamic depth invalidation repeat side-channel-only,/home/lj/dynamic-slam-public/runs/backend_dynamic_depth_v1_20260513_002527/v1_frame_depth_invalidation_r2
2026-05-13,backend_dynamic_depth_v1b_radius1_full,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.019391347683514523,0.017720518929423994,0.9744376057234948,0.01221947994480027,0.36817429445569794,3529e44c834a98501efd3590b8ecc2e1996e9424fced4b138a6077aef4d05dbd,b530fbb8c42f0992f7a5c449b775a53eea688ac25bd0a8c7cd65b79f3cdb6160,0,raw RGB + raw depth + backend dynamic depth invalidation radius1 side-channel-only,/home/lj/dynamic-slam-public/runs/backend_dynamic_depth_v1b_20260513_0039/radius1
2026-05-13,backend_dynamic_depth_v1b_radius1_full_r2,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.019391347683514523,0.017720518929423994,0.9744376057234948,0.01221947994480027,0.36817429445569794,3529e44c834a98501efd3590b8ecc2e1996e9424fced4b138a6077aef4d05dbd,b530fbb8c42f0992f7a5c449b775a53eea688ac25bd0a8c7cd65b79f3cdb6160,0,raw RGB + raw depth + backend dynamic depth invalidation radius1 repeat side-channel-only,/home/lj/dynamic-slam-public/runs/backend_dynamic_depth_v1b_20260513_0039/radius1_r2
2026-05-13,backend_dynamic_depth_v1b_radius2_full,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.019848476062390555,0.017441302864575573,0.9694046697007076,0.012144433701111885,0.36390781241616915,5e3eca1da11c4497131f06ca143e73fa3a89470e870216d6f4f12b300a90cf68,8097cdce173e7d3581d978ec84e0a17e1b688981687c4142e8a516f604fdffd4,0,raw RGB + raw depth + backend dynamic depth invalidation radius2 side-channel-only sensitivity,/home/lj/dynamic-slam-public/runs/backend_dynamic_depth_v1b_20260513_0039/radius2
2026-05-13,backend_map_admission_v2_full,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.01819210416379187,0.016019395770813356,0.972088733955016,0.012129946920710555,0.37242448787304644,2347b2727a0def47d4ba4ea55bfe205ea6a872a96eddb102c718c0d0d4558d58,c1fcba0b72c379975f57fbbf86d22c49b2a974f942084014db300c8a9c0522c5,0,raw RGB + raw depth + backend V2 map-admission-only veto; depth invalidation off; mask side-channel only,/home/lj/dynamic-slam-public/runs/backend_map_admission_v2_20260513_133243/v2_map_admission_only
2026-05-13,backend_map_admission_v2_full_r2,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.01819210416379187,0.016019395770813356,0.972088733955016,0.012129946920710555,0.37242448787304644,2347b2727a0def47d4ba4ea55bfe205ea6a872a96eddb102c718c0d0d4558d58,c1fcba0b72c379975f57fbbf86d22c49b2a974f942084014db300c8a9c0522c5,0,raw RGB + raw depth + backend V2 map-admission-only veto; depth invalidation off; mask side-channel only,/home/lj/dynamic-slam-public/runs/backend_map_admission_v2_20260513_133243/v2_map_admission_only_r2
