match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
401,0.045435726,0.047439591,0.002003865,0.063366774,0.054279407,-0.009087366
402,0.046594643,0.043347440,-0.003247203,0.066364344,0.058147711,-0.008216633
403,0.048328956,0.043068231,-0.005260724,0.069297067,0.064665213,-0.004631854
404,0.058337218,0.044379927,-0.013957291,0.071615572,0.066657838,-0.004957735
405,0.046570758,0.047641508,0.001070750,0.063339185,0.057575460,-0.005763726
406,0.049375015,0.054441110,0.005066095,0.064263454,0.059414580,-0.004848874
407,0.049498720,0.038804889,-0.010693830,0.068766597,0.061448905,-0.007317691
408,0.049991990,0.050519337,0.000527347,0.063906697,0.058084661,-0.005822036
409,0.058867587,0.067000793,0.008133206,0.058290518,0.054004467,-0.004286051
410,0.056792877,0.043997140,-0.012795738,0.055862464,0.052716694,-0.003145770
411,0.056457983,0.047940568,-0.008517415,0.057787466,0.054502892,-0.003284574
412,0.054946287,0.038515248,-0.016431039,0.056590169,0.054526901,-0.002063267
413,0.050138135,0.035552316,-0.014585819,0.055418643,0.052842274,-0.002576369
414,0.037179713,0.038801829,0.001622116,0.057006013,0.053771576,-0.003234437
415,0.036620050,0.040419080,0.003799030,0.056079948,0.056194175,0.000114227
416,0.045495022,0.035035536,-0.010459486,0.054711599,0.052774248,-0.001937351
417,0.040665152,0.038334023,-0.002331129,0.048238035,0.051218893,0.002980858
418,0.044915113,0.037245046,-0.007670067,0.049218208,0.052201579,0.002983371
419,0.045000238,0.037424810,-0.007575428,0.050937686,0.050826141,-0.000111544
420,0.045764141,0.042920176,-0.002843965,0.052373430,0.053572224,0.001198795
421,0.043535801,0.043260493,-0.000275309,0.050223692,0.053082069,0.002858376
422,0.037062628,0.042377577,0.005314949,0.050857099,0.053759478,0.002902378
423,0.042896468,0.047850299,0.004953832,0.052372867,0.054857851,0.002484984
424,0.039550155,0.042905641,0.003355486,0.052294151,0.054498047,0.002203896
425,0.039935540,0.046392775,0.006457235,0.052483174,0.054190041,0.001706866
426,0.042838932,0.052976653,0.010137721,0.052901165,0.053155317,0.000254152
427,0.040497407,0.045188868,0.004691460,0.051806115,0.051671919,-0.000134196
428,0.039545568,0.042271514,0.002725947,0.051803879,0.051316721,-0.000487158
429,0.036767332,0.044373587,0.007606255,0.050747768,0.053155098,0.002407330
430,0.035063868,0.041575404,0.006511536,0.051301806,0.051726774,0.000424968
431,0.038600125,0.043618060,0.005017936,0.050541163,0.053897686,0.003356523
432,0.035881069,0.041874187,0.005993118,0.050709027,0.049691794,-0.001017233
433,0.034830242,0.041508648,0.006678407,0.051255046,0.050265742,-0.000989303
434,0.036736228,0.044015586,0.007279358,0.050763492,0.051913684,0.001150192
435,0.034160958,0.042663101,0.008502143,0.051416713,0.052251030,0.000834317
436,0.035377334,0.045403926,0.010026592,0.050109717,0.050096619,-0.000013098
437,0.035741926,0.045343559,0.009601633,0.050079256,0.051168914,0.001089658
438,0.032407444,0.045865205,0.013457761,0.050339234,0.053164370,0.002825136
439,0.032963520,0.045833151,0.012869631,0.050055489,0.053630610,0.003575121
440,0.031872355,0.046810619,0.014938264,0.049236417,0.053403100,0.004166683
441,0.034825605,0.054230505,0.019404900,0.051118454,0.055988849,0.004870394
442,0.035171223,0.052157291,0.016986068,0.051964957,0.056919262,0.004954306
443,0.035336796,0.044398073,0.009061278,0.051363390,0.053270518,0.001907127
444,0.038660052,0.050891657,0.012231606,0.052718527,0.055028413,0.002309886
445,0.038618377,0.053140803,0.014522426,0.053581955,0.056564454,0.002982500
446,0.032448831,0.047354730,0.014905899,0.051333467,0.054585975,0.003252507
447,0.035161332,0.049848697,0.014687365,0.051491488,0.053852371,0.002360884
448,0.036956604,0.053895778,0.016939174,0.053534524,0.057088195,0.003553671
449,0.038096508,0.049811876,0.011715368,0.053948259,0.056608101,0.002659842
450,0.036075853,0.043912542,0.007836689,0.052716429,0.054092481,0.001376052
451,0.036667301,0.050617292,0.013949991,0.053982155,0.056598922,0.002616767
452,0.037644595,0.049129879,0.011485284,0.053183240,0.055575605,0.002392366
453,0.037329847,0.057123316,0.019793469,0.054174753,0.059216586,0.005041833
454,0.038167628,0.059024526,0.020856898,0.053782741,0.058904772,0.005122031
455,0.039425621,0.055806541,0.016380920,0.054815180,0.057829689,0.003014510
456,0.040928893,0.054761233,0.013832340,0.055103369,0.059287727,0.004184358
457,0.045480828,0.057907697,0.012426868,0.057951493,0.060968243,0.003016751
458,0.047911661,0.072117592,0.024205931,0.059011387,0.064623788,0.005612401
459,0.051886925,0.069009755,0.017122830,0.059092603,0.063036836,0.003944233
460,0.047376830,0.066563239,0.019186409,0.058023763,0.064348740,0.006324977
461,0.048874919,0.066393016,0.017518098,0.058528434,0.065767610,0.007239176
462,0.048662899,0.069678293,0.021015394,0.057921797,0.066944711,0.009022914
463,0.047983137,0.061248097,0.013264960,0.056107222,0.063947530,0.007840308
464,0.046729047,0.063973322,0.017244275,0.055743219,0.064444208,0.008700989
465,0.052897441,0.068953024,0.016055583,0.056960375,0.067425495,0.010465120
466,0.043627669,0.066166698,0.022539029,0.057413929,0.065328967,0.007915038
467,0.051946244,0.068140339,0.016194095,0.057494469,0.064701078,0.007206609
468,0.057524538,0.070916035,0.013391497,0.063557614,0.071952728,0.008395114
469,0.042229143,0.061255155,0.019026012,0.063925550,0.069206410,0.005280859
470,0.042546019,0.054035863,0.011489845,0.063420999,0.066299098,0.002878099
471,0.052645835,0.070832036,0.018186201,0.067336850,0.074771496,0.007434646
472,0.061616073,0.067300828,0.005684754,0.071804708,0.073519217,0.001714509
473,0.048609269,0.048639572,0.000030303,0.066266013,0.061853894,-0.004412119
474,0.062140905,0.071223756,0.009082851,0.070944040,0.073926703,0.002982663
475,0.048339500,0.054877291,0.006537791,0.066513013,0.068608481,0.002095468
476,0.028739069,0.042972251,0.014233182,0.057451130,0.062564233,0.005113103
