match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
178,0.551127880,0.603431666,0.052303786,0.123360268,0.095519148,-0.027841120
179,0.548203984,0.601252768,0.053048784,0.124642878,0.094177382,-0.030465496
180,0.552135070,0.606279048,0.054143978,0.121567579,0.093081339,-0.028486240
181,0.552889952,0.606977888,0.054087936,0.120060851,0.089893262,-0.030167588
182,0.556547357,0.607162618,0.050615261,0.117841781,0.090636122,-0.027205659
183,0.558826794,0.601066293,0.042239499,0.124882157,0.098584068,-0.026298089
184,0.565887102,0.619406235,0.053519132,0.130067235,0.100314760,-0.029752475
185,0.565260933,0.619330246,0.054069313,0.120804282,0.098806935,-0.021997347
186,0.581296080,0.630362346,0.049066266,0.121901208,0.096653410,-0.025247798
187,0.572488037,0.633036460,0.060548423,0.119990792,0.098419210,-0.021571582
188,0.583392158,0.636257640,0.052865482,0.113959735,0.092275604,-0.021684131
189,0.595526844,0.638491248,0.042964404,0.111877093,0.091261628,-0.020615465
190,0.598231545,0.642832023,0.044600478,0.111668236,0.093378688,-0.018289549
191,0.581460842,0.626298283,0.044837441,0.115650621,0.091096550,-0.024554071
192,0.591658788,0.639077013,0.047418225,0.113706262,0.092519944,-0.021186317
193,0.618094634,0.682642545,0.064547912,0.110260603,0.095062608,-0.015197995
194,0.580328763,0.633890300,0.053561537,0.107044910,0.094055718,-0.012989193
195,0.579950970,0.639656013,0.059705043,0.109199115,0.095258418,-0.013940696
196,0.600421870,0.688063394,0.087641524,0.100069247,0.099572538,-0.000496709
197,0.529770073,0.605816524,0.076046451,0.089436161,0.080979166,-0.008456995
198,0.519168302,0.600034170,0.080865868,0.088957127,0.082860504,-0.006096624
199,0.554640704,0.648307585,0.093666881,0.091166821,0.092571064,0.001404242
200,0.504525368,0.593269180,0.088743812,0.079035972,0.081434137,0.002398165
201,0.495164967,0.591460212,0.096295246,0.076768911,0.083312908,0.006543996
202,0.516579340,0.606418841,0.089839501,0.086600167,0.087719110,0.001118943
203,0.488057764,0.570816417,0.082758653,0.066583997,0.071152361,0.004568364
204,0.475498512,0.560837012,0.085338500,0.064810493,0.071183232,0.006372738
205,0.487716574,0.569205561,0.081488987,0.069321905,0.076349756,0.007027851
206,0.481493537,0.572030305,0.090536768,0.065044990,0.081488377,0.016443388
207,0.470878348,0.556480448,0.085602100,0.063478211,0.078322166,0.014843955
208,0.464583534,0.565415718,0.100832184,0.063384568,0.085704323,0.022319755
209,0.445770335,0.548103025,0.102332690,0.059926802,0.083852988,0.023926185
210,0.448041614,0.543769845,0.095728231,0.059566999,0.085151664,0.025584665
211,0.434663806,0.539248680,0.104584874,0.056353533,0.086445161,0.030091628
212,0.400304896,0.515521460,0.115216564,0.046709669,0.082523243,0.035813574
213,0.407676557,0.535401483,0.127724926,0.052632315,0.093639165,0.041006850
214,0.417364745,0.477002156,0.059637411,0.061390000,0.077876545,0.016486545
215,0.398654801,0.528703145,0.130048344,0.058579504,0.099092588,0.040513084
216,0.369494638,0.419240097,0.049745459,0.050502621,0.064570513,0.014067892
217,0.294720237,0.364661741,0.069941504,0.029870273,0.050241726,0.020371453
218,0.306366714,0.370444115,0.064077401,0.039120987,0.056819843,0.017698856
219,0.259111194,0.324551677,0.065440483,0.027387656,0.045231149,0.017843492
220,0.278615912,0.303381347,0.024765435,0.037129605,0.044390791,0.007261186
221,0.265593479,0.291532671,0.025939192,0.035315376,0.043483017,0.008167641
222,0.238075194,0.210131282,-0.027943913,0.028361352,0.023403312,-0.004958040
223,0.224632611,0.203569825,-0.021062786,0.028517837,0.024681876,-0.003835961
224,0.198255502,0.161213241,-0.037042261,0.022886738,0.015138704,-0.007748034
225,0.080948035,0.129624019,0.048675984,0.021591248,0.020285943,-0.001305305
226,0.067301437,0.116992884,0.049691447,0.024826317,0.024918375,0.000092058
227,0.051909944,0.100653029,0.048743085,0.026749417,0.024427193,-0.002322224
228,0.036036595,0.084822641,0.048786046,0.025777983,0.020415537,-0.005362446
229,0.030328468,0.073525668,0.043197201,0.023186062,0.020423932,-0.002762130
230,0.013181508,0.056027275,0.042845766,0.025903737,0.018957647,-0.006946090
231,0.032233696,0.045989622,0.013755925,0.016543185,0.012072446,-0.004470739
232,0.013220482,0.022122195,0.008901714,0.022584101,0.017854482,-0.004729620
233,0.025295499,0.011334492,-0.013961007,0.029023655,0.023754209,-0.005269446
234,0.080267048,0.021032542,-0.059234505,0.025869531,0.022684495,-0.003185036
235,0.074471254,0.038949170,-0.035522084,0.022183435,0.025215491,0.003032056
236,0.058517112,0.065544854,0.007027742,0.023698294,0.034832648,0.011134355
237,0.031468440,0.102978517,0.071510077,0.016987835,0.041570090,0.024582255
238,0.042414549,0.126495580,0.084081031,0.019864266,0.047565793,0.027701527
239,0.089736958,0.118710681,0.028973723,0.035027046,0.042868224,0.007841178
240,0.071047414,0.099895027,0.028847613,0.027480543,0.035569974,0.008089432
241,0.065496949,0.090908751,0.025411803,0.023144967,0.029226034,0.006081067
242,0.069633621,0.076486967,0.006853345,0.022676922,0.023563112,0.000886190
243,0.077097402,0.118796027,0.041698625,0.026790128,0.036267927,0.009477800
244,0.080397795,0.108877163,0.028479369,0.028898957,0.030231575,0.001332619
245,0.078565607,0.085359347,0.006793740,0.027672645,0.021707667,-0.005964979
246,0.070659839,0.089618624,0.018958785,0.025193570,0.022289808,-0.002903762
247,0.071205246,0.093307129,0.022101883,0.025905597,0.022817723,-0.003087874
248,0.084616655,0.082930769,-0.001685886,0.030352390,0.019025733,-0.011326657
249,0.091514546,0.076824226,-0.014690320,0.033512718,0.016416665,-0.017096053
250,0.090135839,0.095862590,0.005726751,0.033779169,0.022324880,-0.011454288
251,0.075810806,0.091874751,0.016063944,0.032341526,0.021325666,-0.011015859
252,0.087532855,0.092752153,0.005219298,0.037792676,0.015903963,-0.021888714
253,0.090206468,0.091415028,0.001208560,0.035663090,0.019212922,-0.016450168
254,0.091515154,0.054422301,-0.037092853,0.036955525,0.006590367,-0.030365158
255,0.083971744,0.083904698,-0.000067046,0.033339385,0.041286222,0.007946837
256,0.091413917,0.093583895,0.002169979,0.033700515,0.043071700,0.009371185
257,0.088951288,0.085466311,-0.003484977,0.034516993,0.041690558,0.007173565
258,0.081193984,0.081782941,0.000588957,0.033980685,0.042182146,0.008201461
259,0.089687840,0.087042162,-0.002645678,0.037333797,0.043919908,0.006586111
260,0.088552586,0.099701077,0.011148492,0.037245783,0.048867512,0.011621729
261,0.096993105,0.100494376,0.003501271,0.039517615,0.048885854,0.009368239
262,0.084303665,0.101991197,0.017687532,0.035809611,0.048538964,0.012729354
263,0.076978986,0.093291107,0.016312122,0.034216394,0.048385130,0.014168735
264,0.094777170,0.104273969,0.009496800,0.038808311,0.051308256,0.012499945
265,0.087264185,0.080424793,-0.006839393,0.037734241,0.044345929,0.006611688
266,0.073782285,0.077094075,0.003311790,0.033946316,0.045492603,0.011546287
267,0.074033810,0.078211361,0.004177551,0.034427011,0.046537687,0.012110676
268,0.066348792,0.087333493,0.020984701,0.034506267,0.048124450,0.013618182
269,0.057651406,0.078753747,0.021102341,0.035200841,0.047838399,0.012637558
270,0.061524425,0.086914546,0.025390121,0.036413785,0.050034630,0.013620845
271,0.050035407,0.074630397,0.024594990,0.032440882,0.049755828,0.017314946
272,0.033522820,0.060645581,0.027122761,0.041650026,0.052869242,0.011219216
273,0.018330125,0.050972832,0.032642706,0.035663869,0.049741389,0.014077521
274,0.018922975,0.057614746,0.038691771,0.037648265,0.052664695,0.015016430
275,0.032181523,0.060017780,0.027836256,0.031818140,0.052876199,0.021058059
276,0.048177586,0.060026444,0.011848858,0.036428168,0.051539832,0.015111664
277,0.059905791,0.071075887,0.011170096,0.046133632,0.057151366,0.011017734
278,0.070649271,0.076507303,0.005858032,0.047451189,0.059141611,0.011690422
279,0.057722264,0.075389577,0.017667313,0.047157358,0.059952489,0.012795131
280,0.059741234,0.076995089,0.017253855,0.048814619,0.062034276,0.013219657
281,0.055872845,0.076171570,0.020298725,0.051406309,0.063485612,0.012079303
282,0.057579807,0.081611715,0.024031908,0.049412574,0.064470543,0.015057968
283,0.064188168,0.067162636,0.002974468,0.045615845,0.059136349,0.013520504
284,0.077266552,0.069927842,-0.007338711,0.047698171,0.061514316,0.013816145
285,0.076148357,0.072887420,-0.003260937,0.041090951,0.053364266,0.012273315
286,0.096333524,0.084522239,-0.011811285,0.034298370,0.047768828,0.013470458
287,0.111816210,0.100023223,-0.011792987,0.031849834,0.045476629,0.013626794
288,0.137030584,0.126316046,-0.010714538,0.026984637,0.040127488,0.013142851
289,0.141377206,0.109628453,-0.031748753,0.027322212,0.051124033,0.023801820
290,0.108747373,0.094924314,-0.013823059,0.038489185,0.042402501,0.003913316
291,0.124439427,0.101016081,-0.023423346,0.036882908,0.045253925,0.008371017
292,0.098091080,0.123306504,0.025215425,0.048290949,0.050594698,0.002303749
293,0.056173996,0.102068025,0.045894030,0.054775525,0.050467091,-0.004308434
294,0.093917311,0.105373558,0.011456248,0.048123506,0.053397893,0.005274387
295,0.160908846,0.165405535,0.004496689,0.048976178,0.058408131,0.009431953
296,0.127596891,0.084288886,-0.043308005,0.044637429,0.063321582,0.018684153
297,0.037668120,0.079215337,0.041547216,0.074736708,0.075378280,0.000641571
298,0.046072254,0.075338658,0.029266404,0.069608594,0.073072537,0.003463942
299,0.023022807,0.065874224,0.042851417,0.079829574,0.078752140,-0.001077435
300,0.058367364,0.061029606,0.002662242,0.093590827,0.088937281,-0.004653546
301,0.277730101,0.070584863,-0.207145238,0.076775972,0.083383684,0.006607712
302,0.220410844,0.073113153,-0.147297690,0.075287012,0.099196478,0.023909466
303,0.217620515,0.074428844,-0.143191671,0.079047144,0.100857383,0.021810239
304,0.297150038,0.071431956,-0.225718082,0.083915282,0.098435650,0.014520368
305,0.287763722,0.083460241,-0.204303482,0.078961891,0.105050839,0.026088948
306,0.212722884,0.089100695,-0.123622189,0.078964548,0.106943733,0.027979184
307,0.218366342,0.081906025,-0.136460317,0.080944673,0.104050308,0.023105635
308,0.200742193,0.079330060,-0.121412133,0.078491785,0.102877251,0.024385465
309,0.204575222,0.090553233,-0.114021989,0.140758532,0.106342619,-0.034415913
310,0.192537618,0.082096220,-0.110441398,0.134886184,0.103051356,-0.031834828
311,0.193712692,0.074071437,-0.119641255,0.132819843,0.099840432,-0.032979411
312,0.215335111,0.078616942,-0.136718169,0.137057155,0.100987121,-0.036070034
313,0.194418241,0.118941739,-0.075476502,0.134059618,0.113342606,-0.020717012
314,0.183072137,0.119724389,-0.063347748,0.131781766,0.113658487,-0.018123278
315,0.193187276,0.118381369,-0.074805908,0.133939125,0.112289181,-0.021649944
316,0.097541336,0.146880822,0.049339486,0.100049443,0.105045057,0.004995614
317,0.066510421,0.090048437,0.023538016,0.092211765,0.085477858,-0.006733908
318,0.199135811,0.133769822,-0.065365988,0.133301161,0.115739460,-0.017561702
319,0.206589626,0.117579007,-0.089010619,0.138306878,0.101790305,-0.036516573
320,0.207537639,0.035984863,-0.171552776,0.130577564,0.085680125,-0.044897439
321,0.187541168,0.030924038,-0.156617130,0.123448165,0.080435212,-0.043012953
322,0.174993909,0.073377393,-0.101616515,0.125238726,0.088637729,-0.036600997
323,0.191664325,0.055779235,-0.135885090,0.127158355,0.085049616,-0.042108740
324,0.181022251,0.032501693,-0.148520557,0.119512384,0.079658323,-0.039854060
325,0.105348598,0.075732670,-0.029615927,0.105584356,0.084118259,-0.021466098
326,0.122345661,0.065255820,-0.057089841,0.108490054,0.083455306,-0.025034748
327,0.139756952,0.042971701,-0.096785251,0.108186048,0.077885405,-0.030300643
328,0.124306620,0.035409799,-0.088896821,0.103335910,0.078831798,-0.024504113
329,0.124817156,0.043926457,-0.080890699,0.101421672,0.074889629,-0.026532043
330,0.137677542,0.040849164,-0.096828378,0.103329046,0.074713598,-0.028615449
331,0.120583844,0.034293842,-0.086290001,0.102325348,0.079134588,-0.023190760
332,0.124198483,0.040788275,-0.083410208,0.103025125,0.077295512,-0.025729614
333,0.137842071,0.038680254,-0.099161817,0.102759660,0.073174266,-0.029585394
334,0.123114039,0.035756676,-0.087357363,0.101822962,0.076201256,-0.025621706
335,0.117618183,0.061180489,-0.056437694,0.102142798,0.077296402,-0.024846395
336,0.137113355,0.039244093,-0.097869262,0.105792656,0.073712282,-0.032080374
337,0.130474937,0.032508195,-0.097966742,0.106009395,0.078601611,-0.027407784
338,0.129641736,0.040876306,-0.088765430,0.105766905,0.078065554,-0.027701351
339,0.129083788,0.029267465,-0.099816323,0.104333028,0.076862868,-0.027470161
340,0.128048740,0.031379301,-0.096669439,0.104166303,0.075158561,-0.029007742
341,0.131011547,0.036066343,-0.094945204,0.108481846,0.078054368,-0.030427478
342,0.125537739,0.035079152,-0.090458587,0.105755418,0.076608598,-0.029146820
343,0.135478092,0.029928220,-0.105549872,0.105868344,0.076438725,-0.029429618
344,0.051337461,0.034391586,-0.016945875,0.090396088,0.077259663,-0.013136425
345,0.050827924,0.041657744,-0.009170180,0.090358950,0.076481880,-0.013877070
346,0.048214453,0.035352119,-0.012862334,0.087305090,0.073471294,-0.013833797
347,0.050751927,0.033533403,-0.017218524,0.088193820,0.075658171,-0.012535648
348,0.047454224,0.040238195,-0.007216028,0.088180614,0.075970310,-0.012210305
349,0.054487323,0.039709709,-0.014777614,0.087748888,0.074385366,-0.013363522
350,0.053329037,0.030238404,-0.023090633,0.087256750,0.073367160,-0.013889590
351,0.045037381,0.032158295,-0.012879086,0.085855445,0.075324827,-0.010530617
352,0.044265430,0.030125298,-0.014140132,0.084286485,0.073214880,-0.011071605
