match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
145,0.444426044,0.351281261,-0.093144784,0.081651766,0.085446172,0.003794406
146,0.467772798,0.392066512,-0.075706286,0.087817765,0.090351515,0.002533750
147,0.502839390,0.380294937,-0.122544454,0.089384629,0.089624710,0.000240081
148,0.491489538,0.396024886,-0.095464652,0.089676158,0.090854396,0.001178238
149,0.501629700,0.391231669,-0.110398031,0.084006354,0.095462198,0.011455843
150,0.517594397,0.417536726,-0.100057670,0.091789148,0.093099015,0.001309868
151,0.541969216,0.444568099,-0.097401117,0.096296659,0.096102587,-0.000194072
152,0.543203743,0.418309737,-0.124894006,0.095201255,0.097714418,0.002513163
153,0.539856626,0.441239702,-0.098616924,0.097774458,0.098182907,0.000408449
154,0.538211017,0.425658426,-0.112552591,0.094490634,0.094818001,0.000327367
155,0.525963059,0.419187605,-0.106775454,0.098051018,0.095330835,-0.002720184
156,0.530417876,0.443280611,-0.087137265,0.096865874,0.097789856,0.000923982
157,0.547833172,0.460681660,-0.087151512,0.099652232,0.100430975,0.000778744
158,0.566539126,0.458587229,-0.107951897,0.102354235,0.107398469,0.005044234
159,0.565646448,0.467120843,-0.098525604,0.102515898,0.104923109,0.002407211
160,0.581413350,0.473691458,-0.107721893,0.107430993,0.107336211,-0.000094782
161,0.566779610,0.470626338,-0.096153273,0.106853842,0.108055319,0.001201477
162,0.587856737,0.479883519,-0.107973219,0.104273641,0.105494395,0.001220754
163,0.589903917,0.469139154,-0.120764764,0.115489930,0.108270260,-0.007219670
164,0.628300848,0.518502292,-0.109798557,0.115570824,0.116886289,0.001315464
165,0.632849820,0.515094017,-0.117755803,0.113784759,0.116373984,0.002589225
166,0.637860259,0.524641877,-0.113218382,0.113075134,0.117888536,0.004813402
167,0.630853468,0.515022035,-0.115831433,0.116656945,0.122790129,0.006133185
168,0.630082087,0.514775779,-0.115306308,0.115254259,0.120229756,0.004975497
169,0.626612897,0.512032577,-0.114580320,0.117700896,0.121191513,0.003490617
170,0.623768146,0.508591530,-0.115176616,0.117405694,0.121807622,0.004401928
171,0.624679272,0.505846070,-0.118833201,0.111443257,0.117712703,0.006269446
172,0.629923057,0.508205102,-0.121717955,0.114863129,0.118033347,0.003170217
173,0.627592132,0.503562591,-0.124029541,0.114067907,0.115419005,0.001351097
174,0.626596718,0.506166057,-0.120430661,0.119482132,0.116780790,-0.002701342
175,0.632165141,0.521437524,-0.110727617,0.110834632,0.114215027,0.003380395
176,0.624470034,0.514626144,-0.109843890,0.111838006,0.118273212,0.006435206
177,0.633600229,0.508920820,-0.124679410,0.106309524,0.118034931,0.011725407
178,0.631251735,0.510258615,-0.120993120,0.106243677,0.116316259,0.010072581
179,0.630662744,0.510848947,-0.119813797,0.108220330,0.118679532,0.010459202
180,0.634087565,0.520151939,-0.113935626,0.101343967,0.120648128,0.019304161
181,0.639747617,0.529388396,-0.110359221,0.099354338,0.118080164,0.018725827
182,0.638220051,0.527728078,-0.110491974,0.103816753,0.116601770,0.012785017
183,0.637291946,0.528496083,-0.108795863,0.102805206,0.117350136,0.014544930
184,0.637673519,0.522092082,-0.115581437,0.103437171,0.117398909,0.013961738
185,0.641299259,0.527597761,-0.113701497,0.104599219,0.115214983,0.010615764
186,0.642936424,0.543657576,-0.099278848,0.104046185,0.111473735,0.007427550
