match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
205,1.273886230,0.449492092,-0.824394138,0.141455585,0.069310229,-0.072145356
206,1.299509061,0.457227570,-0.842281492,0.130175138,0.070933576,-0.059241562
207,1.274758969,0.419616693,-0.855142276,0.127754907,0.059668332,-0.068086575
208,1.254359476,0.429897189,-0.824462287,0.121470252,0.067702851,-0.053767401
209,1.272239740,0.429040702,-0.843199038,0.112552504,0.066319424,-0.046233079
210,1.235888999,0.412014305,-0.823874694,0.111769107,0.062989437,-0.048779670
211,1.222604815,0.397159096,-0.825445719,0.109321223,0.058012943,-0.051308281
212,1.201770594,0.407416116,-0.794354478,0.104681114,0.067595546,-0.037085568
213,1.204826955,0.414843189,-0.789983766,0.099778004,0.073604693,-0.026173311
214,1.118527732,0.396242462,-0.722285270,0.101250177,0.070659804,-0.030590373
215,1.098357609,0.234464169,-0.863893440,0.100560005,0.010835995,-0.089724011
216,1.076046764,0.143823434,-0.932223330,0.096503270,0.025139970,-0.071363300
217,1.061642971,0.106330332,-0.955312639,0.090996171,0.034547755,-0.056448416
218,1.044989363,0.115525163,-0.929464200,0.087370590,0.026113539,-0.061257051
219,1.039588232,0.099164134,-0.940424098,0.083763700,0.031569899,-0.052193801
220,1.029687849,0.106267065,-0.923420784,0.079266611,0.025609001,-0.053657610
221,1.014861594,0.093241789,-0.921619805,0.076071720,0.022218364,-0.053853356
222,1.004645544,0.074214514,-0.930431030,0.072569764,0.026705962,-0.045863802
223,0.993037750,0.060775820,-0.932261930,0.068639536,0.024653512,-0.043986024
224,0.975602543,0.065557227,-0.910045316,0.067182015,0.018025436,-0.049156580
225,0.957855767,0.053266335,-0.904589432,0.066042265,0.020082211,-0.045960054
226,0.941698724,0.033420174,-0.908278550,0.062467777,0.025475476,-0.036992301
227,0.924577241,0.036986845,-0.887590396,0.060563319,0.023351332,-0.037211987
228,0.905661501,0.055609379,-0.850052122,0.057429806,0.016826807,-0.040603000
229,0.883780541,0.069567752,-0.814212789,0.055689515,0.013934753,-0.041754762
230,0.857556370,0.059154079,-0.798402292,0.053391905,0.019744314,-0.033647591
231,0.842710582,0.064847677,-0.777862905,0.052027835,0.007819816,-0.044208019
232,0.820092687,0.058659983,-0.761432704,0.050511259,0.009862657,-0.040648602
233,0.793562468,0.053702020,-0.739860448,0.048522780,0.015919250,-0.032603530
234,0.768046532,0.104715440,-0.663331092,0.046757323,0.029850568,-0.016906755
235,0.734458524,0.085561434,-0.648897090,0.044832789,0.024483449,-0.020349340
236,0.696835847,0.063754737,-0.633081110,0.043575200,0.021350196,-0.022225004
237,0.641417317,0.017808045,-0.623609272,0.040959419,0.010268042,-0.030691377
238,0.611163072,0.020548440,-0.590614632,0.040603652,0.015136685,-0.025466968
