match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
142,1.114430354,0.684844999,-0.429585356,0.251567625,0.173810407,-0.077757218
143,1.115643361,0.712398390,-0.403244972,0.254565855,0.178755077,-0.075810778
144,1.161307409,0.717607246,-0.443700162,0.254669625,0.180374699,-0.074294925
145,1.186653987,0.737400582,-0.449253405,0.254601863,0.180887733,-0.073714130
146,1.215180929,0.756257460,-0.458923469,0.253322979,0.182896246,-0.070426733
147,1.262952750,0.781753066,-0.481199684,0.250622240,0.181493996,-0.069128244
148,1.256331449,0.766109455,-0.490221994,0.249817285,0.185540182,-0.064277102
149,1.273815256,0.773608176,-0.500207080,0.248754033,0.185902950,-0.062851083
150,1.293757149,0.802256077,-0.491501071,0.247594903,0.184766589,-0.062828314
151,1.316044823,0.823811380,-0.492233443,0.246487164,0.186263857,-0.060223307
152,1.307093114,0.818413147,-0.488679966,0.247374211,0.190621941,-0.056752270
153,1.338238435,0.840049178,-0.498189257,0.245070267,0.191238240,-0.053832027
154,1.308472433,0.799773795,-0.508698639,0.251160745,0.191820483,-0.059340262
155,1.321446907,0.825636008,-0.495810898,0.250062728,0.193518750,-0.056543979
156,1.333006539,0.840070322,-0.492936217,0.250828636,0.194986887,-0.055841749
157,1.358104251,0.860405166,-0.497699084,0.249522736,0.196626067,-0.052896669
158,1.356423701,0.842650447,-0.513773254,0.250547472,0.198173550,-0.052373922
159,1.364992453,0.852676564,-0.512315889,0.251691496,0.198118532,-0.053572965
160,1.389079425,0.864483704,-0.524595721,0.250890986,0.199418529,-0.051472457
161,1.401061156,0.859536053,-0.541525103,0.250588522,0.201929283,-0.048659239
162,1.419171980,0.878448995,-0.540722985,0.250457838,0.202836731,-0.047621107
163,1.413963787,0.882918037,-0.531045750,0.251434819,0.204299099,-0.047135719
164,1.434621211,0.912352819,-0.522268392,0.249725346,0.207547162,-0.042178184
165,1.436087390,0.912989497,-0.523097893,0.251885099,0.207917996,-0.043967103
166,1.459470524,0.914768383,-0.544702141,0.250823333,0.209420718,-0.041402615
167,1.472503370,0.909005108,-0.563498262,0.250190701,0.210967648,-0.039223053
168,1.473012600,0.909536588,-0.563476012,0.252005652,0.211717242,-0.040288411
169,1.491854435,0.902313801,-0.589540634,0.251362878,0.212541087,-0.038821791
170,1.496393520,0.899356668,-0.597036853,0.251547288,0.214026881,-0.037520407
171,1.494724283,0.893087602,-0.601636681,0.252932867,0.215085732,-0.037847136
172,1.495243624,0.898293292,-0.596950332,0.253594101,0.214226895,-0.039367205
173,1.496905597,0.893595711,-0.603309886,0.253959624,0.214710354,-0.039249270
174,1.494576403,0.894173197,-0.600403206,0.254307156,0.214203300,-0.040103856
175,1.508022537,0.904266348,-0.603756188,0.253213368,0.210827741,-0.042385627
176,1.516438535,0.894022313,-0.622416222,0.251705108,0.212412264,-0.039292843
177,1.507929424,0.895048614,-0.612880810,0.251964187,0.210658180,-0.041306007
178,1.516557874,0.896544093,-0.620013782,0.250371545,0.209146522,-0.041225022
179,1.515772244,0.897641710,-0.618130534,0.249210235,0.207258605,-0.041951630
180,1.529439398,0.901599715,-0.627839683,0.245411634,0.203756525,-0.041655109
181,1.529782580,0.908809874,-0.620972705,0.243557641,0.200613348,-0.042944293
182,1.530711627,0.907578126,-0.623133501,0.240668289,0.196591547,-0.044076742
183,1.529434707,0.913002257,-0.616432450,0.236441305,0.194852699,-0.041588606
184,1.519446559,0.916154353,-0.603292206,0.233670799,0.192597448,-0.041073351
185,1.525885640,0.919096243,-0.606789397,0.230050479,0.189223539,-0.040826941
186,1.537630732,0.931325696,-0.606305036,0.224408728,0.184437987,-0.039970740
187,1.525642629,0.928287313,-0.597355316,0.222620928,0.183467960,-0.039152968
188,1.530527607,0.927023581,-0.603504026,0.217566907,0.178716961,-0.038849946
189,1.548159563,0.933067542,-0.615092020,0.210728284,0.172356966,-0.038371318
190,1.553827429,0.950440098,-0.603387331,0.207005124,0.167824210,-0.039180914
191,1.526622304,0.910479081,-0.616143223,0.202180432,0.164885903,-0.037294529
192,1.542361647,0.949199359,-0.593162288,0.194630256,0.160694548,-0.033935708
193,1.618088759,1.014597276,-0.603491483,0.183021575,0.155549488,-0.027472087
194,1.553250957,0.930629156,-0.622621801,0.183138486,0.151534646,-0.031603840
195,1.530222092,0.924811785,-0.605410307,0.177792372,0.148491255,-0.029301117
196,1.634643520,1.000617379,-0.634026141,0.163502194,0.141081736,-0.022420458
197,1.549929921,0.924952300,-0.624977621,0.163538238,0.138265159,-0.025273079
198,1.528117759,0.923931436,-0.604186323,0.158539179,0.135777731,-0.022761447
